attributes,attribute_values
-0.3130161464214325,start
0.5439664721488953,Assign seriousness
-0.30211734771728516,Closed
-0.36209601163864136,Create SW anomaly
0.4021143317222595,DUPLICATE
0.040887001901865005,INVALID
0.19093245267868042,Insert ticket
-0.4899921417236328,RESOLVED
-0.14417366683483124,Require upgrade
-0.1934823840856552,Resolve SW anomaly
-0.397487074136734,Resolve ticket
-0.09772175550460815,Schedule intervention
-0.3986845314502716,Take in charge ticket
0.20066262781620026,VERIFIED
0.07525485008955002,Wait
0.2365434318780899,end
0.6794572472572327,start
-0.7033498287200928,Role 1
0.7395832538604736,Role 2
0.7542665600776672,end
-0.13868087530136108,time
